PT1,PT2,PT3,PT4,PT5,PT6,PT7,PT8,PT9,PT10,PT11,PT12,PT13,PT14,PT15,PT16,PT17,PT18,PT19,PT20,PT21,PT22,PT23,PT24,PT25,PT26,PT27,PT28,PT29,PT30,PT31,PT32,PT33,PT34,PT35,PT36,PT37,PT38,PT39,PT40,PT41,PT42,PT43,PT44,PT45,PT46,PT47,PT48,PT49,PT50,PT51,PT52,PT53,PT54,PT55,PT56,PT57,PT58,PT59,PT60,PT61,PT62,PT63,PT64,PT65,PT66,PT67,PT68,PT69,PT70,PT71,PT72,PT73,PT74,PT75,PT76,PT77,PT78,PT79,PT80,PT81,PT82,PT83,PT84,PT85,PT86,PT87,PT88,PT89,PT90,PT91,PT92,PT93,PT94,PT95,PT96
0.612645592,0.336324381,0.06213865,0.050123164,0.191689979,0.312395354,0.378860214,0.406324187,0.423605493,0.424990355,0.424763637,0.417503795,0.410697164,0.401247549,0.387687353,0.374911178,0.362696502,0.350400645,0.335334104,0.327413817,0.312149547,0.297255325,0.285053738,0.276239851,0.266512008,0.255996658,0.244378443,0.232026661,0.226428288,0.216264743,0.20754781,0.200587416,0.193772405,0.185263008,0.176272666,0.171741677,0.165264771,0.16031056,0.154425868,0.148448785,0.142837244,0.138431841,0.133886202,0.126479603,0.125338952,0.120640011,0.11330416,0.111666531,0.111904817,0.106948713,0.104444687,0.101377512,0.095763869,0.092717213,0.088997627,0.090518596,0.087729228,0.086384316,0.084125695,0.082529836,0.080046683,0.077426324,0.073054185,0.071743433,0.072717181,0.064528298,0.066065338,0.067859427,0.061406025,0.062641457,0.059306697,0.059804372,0.058932248,0.058772017,0.051746477,0.051214359,0.053426994,0.05242938,0.050552869,0.047345372,0.042240533,0.048335863,0.048552835,0.047430122,0.045520467,0.043081225,0.04271625,0.039764032,0.041555619,0.041037773,0.040498445,0.040700255,0.040356923,0.033977393,0.034151643,0.033860522
0.58472341,0.418716605,0.149124172,0.05655169,0.141600067,0.26432085,0.353763147,0.402023262,0.428336698,0.4392671,0.441838424,0.435041019,0.430469491,0.422945213,0.411168004,0.399498368,0.38922405,0.376060934,0.360779399,0.351225026,0.337567777,0.326016607,0.312513306,0.299253136,0.291053456,0.280527216,0.269599971,0.25808518,0.251379555,0.239866062,0.230895503,0.224494695,0.215131098,0.208934801,0.201696632,0.195516905,0.185456869,0.180412266,0.173422538,0.169678731,0.163302008,0.15835515,0.151825697,0.148225121,0.143137391,0.138107775,0.131970943,0.131214544,0.126624655,0.123796215,0.118399694,0.115288796,0.111221951,0.106643536,0.105629283,0.105052818,0.101705711,0.098128501,0.096758804,0.091272966,0.090845104,0.087414077,0.084735628,0.083404322,0.082854582,0.075619925,0.076542093,0.074999501,0.073180201,0.070791297,0.069179849,0.069415109,0.066137144,0.066572081,0.062789685,0.061211668,0.060338793,0.06085877,0.057999394,0.056172577,0.051175502,0.054491783,0.05677073,0.05324354,0.051370296,0.051595653,0.047382444,0.048924636,0.047155996,0.047932247,0.046577756,0.048096732,0.045372211,0.040946323,0.042389743,0.040085848
0.261305154,0.04128475,0.122720403,0.239702829,0.290048583,0.322606048,0.34328323,0.350796768,0.347770381,0.334593545,0.327935136,0.305602884,0.293341455,0.281840513,0.263004195,0.253372986,0.243737272,0.225934168,0.216256859,0.206416065,0.194134671,0.183407748,0.172987609,0.160686934,0.152254548,0.148884681,0.134610559,0.127113742,0.131670899,0.119856679,0.114320005,0.106950551,0.1044892,0.096384192,0.096089065,0.097076111,0.087602413,0.080381516,0.08133196,0.081046659,0.072116963,0.06977206,0.066427706,0.069615348,0.060424643,0.052235292,0.061925126,0.059637494,0.050401067,0.053811211,0.052250521,0.047874476,0.047739737,0.043874776,0.04746183,0.045040391,0.045649238,0.036810624,0.036727884,0.032916314,0.028601315,0.029497113,0.03432848,0.02955434,0.030956404,0.033810149,0.028835104,0.023795073,0.033297673,0.030316787,0.030064502,0.029012866,0.026903191,0.028112018,0.028778284,0.030014811,0.015692891,0.020232692,0.02305275,0.023965406,0.024249718,0.018513432,0.022392253,0.016221213,0.020627074,0.023322946,0.019033826,0.02014742,0.02104571,0.021077578,0.01840547,0.014693228,0.013209177,0.018127494,0.015424301,0.016783743
0.427629839,0.113626271,0.037616472,0.149452774,0.270974597,0.334643257,0.357829573,0.361497388,0.363154036,0.353074013,0.348914942,0.335111147,0.324739271,0.313069635,0.297008838,0.285420068,0.273423475,0.259890269,0.248317081,0.24006395,0.226016613,0.211989872,0.201727177,0.194573133,0.184419418,0.177838053,0.164955127,0.155562681,0.155044132,0.145633182,0.138970315,0.131384629,0.12867508,0.119063632,0.113668306,0.112918584,0.107907131,0.101963434,0.099668511,0.095543732,0.089501819,0.086568677,0.084108474,0.079326535,0.07653723,0.071176444,0.071913371,0.068887515,0.067606426,0.065559227,0.06567549,0.06194024,0.0589188,0.05652155,0.054147235,0.054806756,0.054077571,0.050529034,0.048875915,0.049277526,0.044499031,0.04435642,0.043132005,0.040387919,0.042644815,0.040014501,0.038918424,0.039054224,0.037548935,0.038976024,0.036419038,0.035755371,0.036341001,0.035804173,0.031366207,0.032368851,0.028365086,0.028429078,0.029717888,0.028235499,0.026196236,0.027284317,0.027490973,0.026119048,0.027395375,0.025734289,0.026541085,0.022497296,0.026148453,0.024917567,0.023976911,0.021050946,0.021787015,0.020286871,0.018138129,0.019632249
0.574975024,0.231858021,0.023005442,0.075512483,0.224238079,0.321230728,0.360954696,0.370520305,0.378459778,0.372684487,0.371136049,0.362520113,0.35431393,0.343773447,0.330097463,0.31694689,0.304358761,0.292911396,0.279596813,0.27217612,0.257326785,0.242239364,0.231535418,0.225565731,0.215270167,0.206193755,0.194594552,0.183727123,0.179578861,0.171107909,0.16352837,0.156344473,0.152331365,0.142994687,0.134444582,0.131993809,0.127948938,0.123224255,0.118635649,0.112594068,0.108345982,0.104383615,0.101862014,0.093612922,0.093678125,0.089824082,0.084723483,0.082192574,0.083647,0.079236562,0.078718593,0.075356685,0.070766451,0.06905282,0.064350499,0.066348465,0.064660567,0.063614743,0.061706121,0.062646528,0.058916868,0.057577734,0.05293446,0.051710829,0.053501985,0.047335271,0.048700428,0.05109417,0.044083083,0.046988448,0.043952286,0.043609082,0.04467851,0.043894656,0.036436602,0.036974166,0.038867716,0.037497806,0.036696583,0.034286913,0.030376603,0.035122761,0.03405419,0.034758662,0.033688795,0.030402763,0.032707124,0.027422684,0.0311504,0.029847724,0.029440568,0.027910374,0.028940872,0.024034612,0.022517352,0.023816848
0.664701032,0.358667644,0.070257914,0.036353907,0.166568056,0.284988103,0.347529976,0.371488047,0.387807147,0.388617134,0.390157139,0.384349668,0.378529281,0.369983699,0.358365131,0.344761001,0.333015628,0.322001681,0.307653441,0.300103455,0.285539272,0.271454555,0.259965485,0.252194154,0.242776797,0.232260493,0.221702667,0.210211346,0.203817521,0.195128496,0.186933752,0.180366479,0.174417244,0.166499499,0.157001921,0.15293158,0.147361849,0.143355562,0.137341318,0.131251416,0.127558043,0.122580809,0.119163385,0.111229102,0.110903401,0.107420625,0.099880229,0.098318677,0.098413991,0.094079279,0.09155748,0.088309712,0.083500004,0.081564282,0.077396032,0.078989762,0.076713508,0.075688641,0.074333218,0.073199553,0.07125718,0.068842444,0.063424684,0.062959704,0.063463202,0.055990941,0.058206428,0.060161057,0.052762589,0.054629884,0.052340495,0.05214601,0.052056422,0.051865272,0.043968346,0.043856561,0.047190749,0.046430402,0.043788927,0.04158927,0.036783139,0.041938648,0.041482576,0.041927338,0.039554611,0.036921502,0.037837666,0.034337983,0.036128169,0.035573327,0.034866325,0.034776786,0.034691809,0.02926166,0.028454396,0.02908908
0.680773825,0.459469333,0.158222534,0.040836536,0.116933106,0.238053408,0.322567766,0.365971773,0.392182268,0.401305151,0.40644746,0.401769471,0.398745424,0.392810603,0.382455872,0.369581935,0.359901872,0.347657157,0.333917093,0.325509274,0.311755043,0.299464284,0.287407497,0.276131202,0.267867228,0.257348134,0.247042334,0.235124,0.228560183,0.218849737,0.210268576,0.204013571,0.196129019,0.189681694,0.180791147,0.17565015,0.167266726,0.162767777,0.156861352,0.151916815,0.147099279,0.141469319,0.136658348,0.131379984,0.128850156,0.124174108,0.117526015,0.116641889,0.112964725,0.110124543,0.105425366,0.101738769,0.097497951,0.094788288,0.092823051,0.092844272,0.090422544,0.087676039,0.086793256,0.082500004,0.08200081,0.0789635,0.074935129,0.074156467,0.073142503,0.066394591,0.067625305,0.067504041,0.063459114,0.063040481,0.061792358,0.061476658,0.0594415,0.060246828,0.053791,0.053097863,0.054086087,0.055076211,0.051587886,0.050056494,0.045297909,0.048465732,0.049669105,0.048080958,0.045725313,0.045012492,0.042962885,0.042579604,0.041755645,0.042082773,0.04072499,0.041577302,0.039647658,0.035820538,0.035676499,0.035471249
0.622367698,0.519526211,0.265054761,0.085166823,0.086977901,0.190846424,0.291232929,0.355285206,0.392188874,0.411315729,0.420636018,0.416051171,0.416210447,0.412762357,0.403140999,0.392340419,0.385440966,0.371249379,0.35911939,0.349225563,0.33677509,0.327004957,0.314229034,0.298633762,0.291504666,0.282415545,0.271571983,0.259729751,0.254533157,0.243031941,0.234220817,0.227943101,0.218132704,0.213001051,0.206138613,0.200407762,0.188371029,0.182470551,0.177208806,0.17457609,0.167466541,0.161735887,0.155073768,0.153688831,0.147410642,0.14084882,0.137445705,0.136803877,0.128256511,0.127581016,0.120970167,0.116489969,0.113593027,0.109323289,0.110406033,0.108219094,0.105734075,0.10008891,0.099550223,0.09170462,0.092119748,0.088830057,0.087453493,0.085670807,0.083484676,0.078559714,0.077847763,0.074547043,0.076204357,0.072543719,0.072253723,0.071767512,0.067432389,0.069019599,0.065756034,0.064441285,0.060478761,0.063379763,0.060115002,0.059388567,0.055386094,0.055098838,0.058618232,0.053885487,0.052544506,0.054432759,0.048503416,0.05181335,0.048261312,0.049433297,0.047372406,0.048597126,0.044519747,0.043401941,0.044119548,0.042604658
0.39673344,0.104941451,0.045089648,0.140487371,0.247792395,0.309259775,0.331213444,0.334571439,0.333469191,0.324549329,0.31988318,0.306383485,0.295033374,0.283114284,0.269651333,0.257988946,0.245650695,0.234065691,0.221127804,0.212011779,0.19998884,0.189336946,0.178654089,0.170816445,0.161738774,0.154229242,0.143618162,0.13743238,0.133732223,0.125312361,0.119435812,0.112777727,0.10973969,0.102276216,0.098574285,0.096642801,0.091511644,0.087381084,0.082775528,0.08013063,0.076557886,0.073280033,0.070774763,0.067885977,0.062777666,0.060071788,0.060767052,0.058345313,0.055105366,0.054683474,0.053334526,0.050586047,0.049673217,0.047012365,0.045222919,0.044791476,0.04385986,0.039801193,0.039678348,0.039122153,0.036064527,0.035699378,0.034605666,0.032993532,0.034504893,0.033217485,0.033093907,0.031075305,0.031151704,0.030729529,0.030378921,0.028852294,0.029185497,0.028112982,0.026136276,0.026669545,0.022430014,0.022404725,0.022664516,0.02330097,0.021876551,0.020661164,0.020954181,0.020269628,0.021031912,0.020661402,0.020876314,0.019121031,0.020746387,0.020401598,0.018950384,0.016542684,0.016657689,0.016773869,0.014698982,0.01504377
0.559938917,0.22612533,0.027703241,0.06621947,0.202975157,0.296947841,0.333847588,0.34185222,0.347208146,0.342156031,0.340515247,0.332371424,0.323552215,0.312930855,0.301695415,0.288314354,0.275465684,0.265937789,0.25160172,0.243630701,0.230492229,0.218233429,0.207340137,0.201152975,0.191795552,0.181936676,0.172415363,0.164296983,0.157387249,0.150056132,0.143222859,0.136882756,0.132772595,0.125260574,0.117981055,0.114638536,0.110787609,0.107711556,0.101160438,0.096332242,0.094481759,0.09019143,0.087860521,0.080860626,0.079334413,0.077931644,0.072641995,0.070612569,0.070680879,0.067597668,0.0659947,0.063405872,0.060659759,0.058927096,0.054484571,0.055723048,0.053951809,0.052611391,0.052096498,0.052471946,0.050190735,0.048729221,0.043921003,0.043796949,0.044979378,0.039938792,0.042287783,0.04307953,0.036978478,0.038609861,0.037493731,0.036329955,0.037440521,0.036154232,0.030457349,0.030726799,0.032764693,0.03123785,0.029525092,0.028943669,0.025586718,0.028394675,0.027223259,0.028873003,0.027282738,0.024929191,0.027107505,0.023421364,0.02560679,0.024988702,0.024201521,0.022965186,0.023623445,0.020094946,0.018465795,0.019010025
